MTW > 40 GeV:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1444	1187	1186	1185	564	442	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3350410|	7|	53.4145|	0 (0, 0, 0) |	118.715|	88.794|	52.3953|	80.6499|	|	
1|	3350537|	7|	37.1236|	0.0200854 (0, 0.745643, 0) |	80.6522|	51.9772|	21.4605|	56.2943|	|	
1|	834231|	2|	54.5467|	0.0430738 (0, 0.7092, 1.64034) |	94.0011|	50.9929|	72.7664|	47.729|	|	
1|	834287|	2|	36.2025|	0.052691 (0, 1.90755, 0) |	35.5343|	32.87|	43.1027|	76.6644|	|	
1|	834315|	2|	28.151|	0 (0, 0, 0) |	79.155|	50.8127|	60.1141|	82.2744|	|	
1|	834341|	2|	36.4722|	0.0383163 (0.654845, 0, 0.742636) |	97.7993|	48.3128|	50.2708|	74.9859|	|	
1|	834362|	2|	70.2794|	0.0149572 (0, 1.05118, 0) |	154.439|	104.68|	33.8292|	82.0237|	|	
1|	834370|	2|	68.3141|	0.0765625 (3.97361, 1.25668, 0) |	88.2615|	52.5805|	12.7805|	59.04|	|	
1|	834560|	2|	44.9763|	0.0639337 (2.20033, 0.675174, 0) |	69.1215|	40.842|	16.8232|	52.1798|	|	
1|	834706|	2|	47.0782|	0.080323 (0.803909, 1.27698, 1.70057) |	129.652|	77.0252|	42.2144|	52.1362|	|	
1|	834746|	2|	55.9163|	0.0778905 (0.634044, 3.16336, 0.557947) |	83.3563|	66.3824|	37.375|	90.8116|	|	
1|	834755|	2|	25.9388|	0.0472667 (0, 1.22604, 0) |	43.4845|	38.9646|	63.3401|	42.7591|	|	
1|	834784|	2|	44.6832|	0.0563083 (0, 2.51603, 0) |	71.6183|	56.6418|	53.6682|	77.4424|	|	
1|	916710|	2|	26.7354|	0 (0, 0, 0) |	185.457|	58.2622|	133.257|	63.0831|	|	
