Exactly one tagged jet, d_{TCHP} > 3.41:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	1184	1183	563	441	183
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3816414|	8|	29.1371|	0.013336 (0, 0.388572, 0) |	62.8526|	49.6613|	68.0019|	71.4815|	8.11168|	
1|	3816464|	8|	89.2962|	0.0319688 (0.87607, 1.97862, 0) |	43.2061|	40.6897|	25.6865|	59.8051|	5.28199|	
1|	3816598|	8|	60.6853|	0.0115026 (0, 0, 0.698037) |	42.2982|	35.5127|	45.4566|	78.6639|	10.236|	
1|	3816620|	8|	76.9365|	0.0575642 (0, 4.42879, 0) |	156.481|	103.005|	28.2791|	86.4108|	7.40909|	
1|	3816674|	8|	58.6308|	0 (0, 0, 0) |	73.4138|	45.8416|	74.275|	103.254|	4.4562|	
1|	3816704|	8|	36.5931|	0.0689716 (0, 2.52389, 0) |	54.8066|	37.6939|	30.5529|	62.8625|	17.4015|	
1|	3771439|	8|	46.847|	0 (0, 0, 0) |	190.369|	140.139|	54.9381|	41.671|	11.4752|	
1|	3771483|	8|	49.5431|	0.0884311 (0, 3.82224, 0.558913) |	80.5707|	39.8582|	30.3376|	58.7853|	9.21371|	
1|	3771486|	8|	70.0442|	0.00854497 (0, 0.598526, 0) |	51.326|	36.9522|	50.4582|	69.5236|	9.1968|	
1|	3771510|	8|	49.3416|	0.00399287 (0, 0.197015, 0) |	53.1157|	31.6957|	73.3285|	113.208|	8.93635|	
1|	3771611|	8|	126.342|	0.021615 (1.90753, 0.823364, 0) |	225.619|	71.7214|	53.1404|	41.4835|	8.96744|	
1|	3771653|	8|	34.6649|	0.00496815 (0, 0.17222, 0) |	73.3364|	70.487|	32.231|	65.4427|	9.58085|	
1|	3771697|	8|	74.9763|	0.056688 (0.82406, 1.3198, 2.10639) |	83.6739|	80.5117|	55.4599|	78.9367|	8.31625|	
1|	3771723|	8|	43.9241|	0.0251089 (0.528095, 0, 0.574792) |	98.977|	37.7562|	16.8773|	52.8626|	19.7677|	
1|	3771871|	8|	36.3499|	0.096817 (0.853671, 2.66562, 0) |	70.8023|	58.5491|	92.505|	65.6538|	3.54488|	
1|	3817763|	8|	56.8787|	0.0649083 (0, 3.6919, 0) |	77.2737|	76.24|	24.2125|	52.6512|	6.0066|	


