Exactly one tight muon:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	0	0	0	0	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	1072529|	3|	58.2199|	0.0697347 (0, 3.50599, 0.553961) |	|	|				
1|	1072532|	3|	59.696|	0.053038 (0, 3.16616, 0) |	|	|				
1|	1072535|	3|	35.7591|	0 (0, 0, 0) |	|	|				
1|	3099004|	7|	48.5554|	0.0879536 (2.39458, 1.87604, 0) |	|	|				
1|	3099005|	7|	27.3086|	0 (0, 0, 0) |	|	|				
1|	3099010|	7|	57.2354|	0 (0, 0, 0) |	|	|				
1|	3099017|	7|	47.1992|	0 (0, 0, 0) |	|	|				
1|	3099040|	7|	44.7252|	0.0441753 (0.794855, 0.337873, 0.843017) |	|	|				
1|	3099048|	7|	20.0678|	0.0349676 (0.701723, 0, 0) |	|	|				
1|	3099089|	7|	44.551|	0.0605677 (1.05365, 0.768685, 0.876021) |	|	|				
1|	3099094|	7|	68.5263|	0 (0, 0, 0) |	|	|				
1|	3099097|	7|	78.6884|	0 (0, 0, 0) |	|	|				
1|	3099116|	7|	25.2378|	0.0555187 (0, 1.40117, 0) |	|	|				
1|	3099151|	7|	30.9035|	0.00922688 (0, 0.285143, 0) |	|	|				
1|	3099163|	7|	35.2165|	0.0537969 (0, 0.903423, 0.991119) |	|	|				
1|	3099166|	7|	45.8122|	0.00796735 (0, 0.365002, 0) |	|	|				
1|	3099168|	7|	22.5582|	0.123361 (0, 2.14505, 0.637756) |	|	|				
1|	3099184|	7|	46.2565|	0 (0, 0, 0) |	|	|				
1|	3099206|	7|	39.9822|	0.0288947 (0, 0.591113, 0.564158) |	|	|				
1|	3099208|	7|	32.2034|	0 (0, 0, 0) |	|	|				
1|	3099234|	7|	39.0852|	0.00547313 (0, 0.213918, 0) |	|	|				
